"GameId","GameState","FinalMessage","Round","Region","Network","StartDate","StartTime","TeamName","Versus","TeamScore","OpponentScore","WinningTeam"
"2427537","final","FINAL","First Round","WEST","CBS","03-21-2024","12:15PM ET","Michigan St.","Mississippi St.","51","69","Michigan St."
"2427537","final","FINAL","First Round","WEST","CBS","03-21-2024","12:15PM ET","Mississippi St.","Michigan St.","51","69","Michigan St."
"2427532","final","FINAL","First Round","EAST","truTV","03-21-2024","12:40PM ET","Duquesne","BYU","67","71","Duquesne"
"2427532","final","FINAL","First Round","EAST","truTV","03-21-2024","12:40PM ET","BYU","Duquesne","67","71","Duquesne"
"2427547","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","01:30PM ET","Akron","Creighton","77","60","Creighton"
"2427547","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","01:30PM ET","Creighton","Akron","77","60","Creighton"
"2427541","final","FINAL","First Round","WEST","TBS","03-21-2024","02:00PM ET","Long Beach St.","Arizona","85","65","Arizona"
"2427541","final","FINAL","First Round","WEST","TBS","03-21-2024","02:00PM ET","Arizona","Long Beach St.","85","65","Arizona"
"2427536","final","FINAL","First Round","WEST","CBS","03-21-2024","02:47PM ET","Wagner","North Carolina","90","62","North Carolina"
"2427536","final","FINAL","First Round","WEST","CBS","03-21-2024","02:47PM ET","North Carolina","Wagner","90","62","North Carolina"
"2427533","final","FINAL","First Round","EAST","truTV","03-21-2024","03:34PM ET","Morehead St.","Illinois","85","69","Illinois"
"2427533","final","FINAL","First Round","EAST","truTV","03-21-2024","03:34PM ET","Illinois","Morehead St.","85","69","Illinois"
"2427546","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","04:09PM ET","Oregon","South Carolina","73","87","Oregon"
"2427546","final","FINAL","First Round","MIDWEST","TNT","03-21-2024","04:09PM ET","South Carolina","Oregon","73","87","Oregon"
"2427540","final","FINAL","First Round","WEST","TBS","03-21-2024","04:47PM ET","Nevada","Dayton","63","60","Dayton"
"2427540","final","FINAL","First Round","WEST","TBS","03-21-2024","04:47PM ET","Dayton","Nevada","63","60","Dayton"
